Time,V(R5:2)
1.271689815758e-04,3.955838585674e-05
1.278428478477e-04,3.955838585792e-05
1.283956928490e-04,3.955838586192e-05
1.289942188499e-04,3.955838586122e-05
1.296816272972e-04,3.955838585809e-05
1.303021831749e-04,3.955838585470e-05
1.308889789818e-04,3.955838584517e-05
1.314690990684e-04,3.955838585794e-05
1.320591373680e-04,3.955838584506e-05
1.327806873558e-04,3.955838585822e-05
1.335443897484e-04,3.955838586470e-05
1.342578335045e-04,3.955838586123e-05
1.349276943443e-04,3.955838586200e-05
1.356618328331e-04,3.955838585253e-05
1.363000316856e-04,3.955838584835e-05
1.368745250938e-04,3.955838586762e-05
1.375893993614e-04,3.955838585698e-05
1.383692188499e-04,3.955838585649e-05
1.389997883079e-04,3.955838585797e-05
1.396210117576e-04,3.955838586772e-05
1.405712528465e-04,3.955838585821e-05
1.411407871483e-04,3.955838585593e-05
1.417231960533e-04,3.955838586744e-05
1.423956318138e-04,3.955838584018e-05
1.431311054466e-04,3.955838586324e-05
1.437098903892e-04,3.955838586386e-05
1.442995472191e-04,3.955838586622e-05
1.450973911522e-04,3.955838587224e-05
1.457399769066e-04,3.955838585563e-05
1.463764591453e-04,3.955838585681e-05
1.470102710960e-04,3.955838585746e-05
1.479244632957e-04,3.955838586126e-05
1.485466404198e-04,3.955838586699e-05
1.491864605186e-04,3.955838586521e-05
1.498377247093e-04,3.955838586631e-05
1.498539523384e-04,3.955838585508e-05
1.498864070675e-04,3.955838585589e-05
1.499513165256e-04,3.955838585651e-05
1.500000010800e-04,3.955838585839e-05
1.500000011720e-04,3.955838597249e-05
1.500000013560e-04,3.955838584261e-05
1.500000017240e-04,3.955838590756e-05
1.500000020800e-04,3.955838597250e-05
1.500000021600e-04,3.955838597249e-05
1.500000023200e-04,3.955838571273e-05
1.500000026400e-04,3.955838597249e-05
1.500000032800e-04,3.955838584262e-05
1.500000045600e-04,3.955838584263e-05
1.500000071201e-04,3.955838585408e-05
1.500000122402e-04,3.955838585369e-05
1.500000224804e-04,3.955838585497e-05
1.500000429607e-04,3.955838585629e-05
1.500000839215e-04,3.955838585855e-05
1.500001658429e-04,3.955838585710e-05
1.500003296858e-04,3.955838585716e-05
1.500006573717e-04,3.955838585780e-05
1.500013127434e-04,3.955838585783e-05
1.500026234868e-04,3.955838585799e-05
1.500052449736e-04,3.955838585822e-05
1.500104879471e-04,3.955838585894e-05
1.500209738943e-04,3.955838586003e-05
1.500419457885e-04,3.955838586156e-05
1.500838895771e-04,3.955838586053e-05
1.501366754505e-04,3.955838585946e-05
1.501972695323e-04,3.955838586011e-05
1.503184576961e-04,3.955838586533e-05
1.505608340236e-04,3.955838585895e-05
1.510455866786e-04,3.955838585853e-05
1.515074988338e-04,3.955838586856e-05
1.522699614498e-04,3.955838585040e-05
1.529587050411e-04,3.955838586255e-05
1.535813590023e-04,3.955838585324e-05
1.540455122921e-04,3.955838586289e-05
1.545489569637e-04,3.955838585475e-05
1.550237914058e-04,3.955838585249e-05
1.555011054012e-04,3.955838586529e-05
1.561267157527e-04,3.955838586703e-05
1.567386885616e-04,3.955838585142e-05
1.572593947383e-04,3.955838584809e-05
1.578112860652e-04,3.955838585259e-05
1.584166785213e-04,3.955838585957e-05
1.589596053096e-04,3.955838585047e-05
1.594668646785e-04,3.955838585134e-05
1.601015349361e-04,3.955838587648e-05
1.606773634883e-04,3.955838586094e-05
1.614439269039e-04,3.955838585994e-05
1.620219489070e-04,3.955838585606e-05
1.625877638790e-04,3.955838585951e-05
1.631739874813e-04,3.955838586147e-05
1.637103339168e-04,3.955838586704e-05
1.642105360958e-04,3.955838585479e-05
1.646757384273e-04,3.955838584099e-05
1.652527113887e-04,3.955838585788e-05
1.658702155086e-04,3.955838586260e-05
1.665982504817e-04,3.955838585880e-05
1.671907683345e-04,3.955838585657e-05
1.678120871517e-04,3.955838585000e-05
1.684322615596e-04,3.955838586152e-05
1.689597388240e-04,3.955838586635e-05
1.694562216732e-04,3.955838586107e-05
1.699576636287e-04,3.955838586531e-05
1.705881377193e-04,3.955838585228e-05
1.713960906002e-04,3.955838584721e-05
1.720062514278e-04,3.955838584681e-05
1.725858946773e-04,3.955838585421e-05
1.733714362117e-04,3.955838585687e-05
1.738181849452e-04,3.955838585526e-05
1.744180460903e-04,3.955838585693e-05
1.750044604274e-04,3.955838586510e-05
1.756785174343e-04,3.955838586204e-05
1.764607211086e-04,3.955838586601e-05
1.772058268520e-04,3.955838585100e-05
1.778383036586e-04,3.955838585223e-05
1.785438319179e-04,3.955838584812e-05
1.790720721218e-04,3.955838585726e-05
1.796130915615e-04,3.955838586542e-05
1.801995058986e-04,3.955838586701e-05
1.808889170619e-04,3.955838585984e-05
1.814203997585e-04,3.955838584997e-05
1.820445795986e-04,3.955838585830e-05
1.826836367580e-04,3.955838585841e-05
1.833827753994e-04,3.955838586636e-05
1.839659472438e-04,3.955838586692e-05
1.845115443202e-04,3.955838585237e-05
1.851195116970e-04,3.955838585787e-05
1.858129282924e-04,3.955838585827e-05
1.863299151393e-04,3.955838585869e-05
1.868692179653e-04,3.955838584267e-05
1.874746104213e-04,3.955838585422e-05
1.881696482631e-04,3.955838585944e-05
1.887282153102e-04,3.955838586236e-05
1.892685671779e-04,3.955838586533e-05
1.898624201747e-04,3.955838586057e-05
1.905555506679e-04,3.955838585910e-05
1.910737772914e-04,3.955838585717e-05
1.916390200588e-04,3.955838584859e-05
1.922452708217e-04,3.955838584926e-05
1.929416438076e-04,3.955838585023e-05
1.934879084560e-04,3.955838585338e-05
1.940516253444e-04,3.955838585627e-05
1.946540614101e-04,3.955838584833e-05
1.953493853542e-04,3.955838586780e-05
1.958710452053e-04,3.955838586118e-05
1.964418192836e-04,3.955838585211e-05
1.970519801113e-04,3.955838586177e-05
1.977488299343e-04,3.955838585436e-05
1.982808848354e-04,3.955838585467e-05
1.988462229702e-04,3.955838585627e-05
1.994523783657e-04,3.955838584748e-05
2.000000020800e-04,3.955838585741e-05
2.000101795731e-04,3.955838586108e-05
2.000305345593e-04,3.955838586120e-05
2.000712445317e-04,3.955838585866e-05
2.001237741051e-04,3.955838585636e-05
2.001940956650e-04,3.955838585227e-05
2.003218880234e-04,3.955838585074e-05
2.005774727402e-04,3.955838585435e-05
2.010303249894e-04,3.955838585674e-05
2.014525166092e-04,3.955838585624e-05
2.020806065140e-04,3.955838585515e-05
2.025930157242e-04,3.955838586664e-05
2.031553021012e-04,3.955838584878e-05
2.037691822586e-04,3.955838584226e-05
2.043151608048e-04,3.955838585059e-05
2.048242321549e-04,3.955838584509e-05
2.053877583084e-04,3.955838584932e-05
2.059297314225e-04,3.955838584910e-05
2.066129437027e-04,3.955838585063e-05
2.072828999100e-04,3.955838585274e-05
2.078469982682e-04,3.955838585402e-05
2.084494343338e-04,3.955838585523e-05
2.089085331498e-04,3.955838585862e-05
2.094844570694e-04,3.955838586326e-05
2.100039234696e-04,3.955838586126e-05
2.105850925980e-04,3.955838584994e-05
2.112554302750e-04,3.955838585520e-05
2.120194187699e-04,3.955838584509e-05
2.126333942948e-04,3.955838584976e-05
2.132495632706e-04,3.955838585602e-05
2.137045136032e-04,3.955838585637e-05
2.142459145127e-04,3.955838586175e-05
2.147452583847e-04,3.955838585406e-05
